model,representation,dataset,progress_bucket,n,positive_rate,auroc,auprc
vae,tfidf_svd_side,malt,0-20%,7580,0.12348284960422164,0.5399230782095021,0.13242665180397828
vae,tfidf_svd_side,malt,20-40%,7889,0.12092787425529218,0.605203151758089,0.13741749335400447
vae,tfidf_svd_side,malt,40-60%,7928,0.12348637739656912,0.568619671909936,0.1297604823764653
vae,tfidf_svd_side,malt,60-80%,7889,0.12092787425529218,0.5759286214156913,0.12827045404644957
vae,tfidf_svd_side,malt,80-100%,8203,0.12080945995367548,0.5650831834821771,0.1266029542252355
vae,tfidf_svd_side,trace,0-20%,2547,0.5127601099332548,0.47669283157262154,0.48762367432801235
vae,tfidf_svd_side,trace,20-40%,2726,0.516507703595011,0.46596998292867975,0.48715423255251467
vae,tfidf_svd_side,trace,40-60%,2750,0.5134545454545455,0.47361315777216,0.48867499923389246
vae,tfidf_svd_side,trace,60-80%,2726,0.516507703595011,0.46679903046971993,0.4838294600133277
vae,tfidf_svd_side,trace,80-100%,2952,0.516260162601626,0.46340714763595725,0.48124203913784536
