dataset,trajectory_id,binary_label,n_turns,approx_tokens,model,representation,anomaly_score
trace,trajectory_0389,0,26,1085,one_class_svm_sgd,turn_embedding_pool_side,-22.466603731079932
trace,trajectory_0223,0,16,680,one_class_svm_sgd,turn_embedding_pool_side,-22.47130137150639
trace,trajectory_0366,0,32,1179,one_class_svm_sgd,turn_embedding_pool_side,-22.475210294402178
trace,trajectory_0448,0,34,1164,one_class_svm_sgd,turn_embedding_pool_side,-22.469760662568707
trace,trajectory_0018,1,27,772,one_class_svm_sgd,turn_embedding_pool_side,-22.470944416518297
trace,trajectory_0274,0,26,674,one_class_svm_sgd,turn_embedding_pool_side,-22.47649161777922
trace,trajectory_0331,0,22,753,one_class_svm_sgd,turn_embedding_pool_side,-22.471022681607838
trace,trajectory_0262,1,37,924,one_class_svm_sgd,turn_embedding_pool_side,-22.4771963812364
trace,trajectory_0327,1,20,1301,one_class_svm_sgd,turn_embedding_pool_side,-22.470406147460427
trace,trajectory_0409,0,30,1031,one_class_svm_sgd,turn_embedding_pool_side,-22.47147044590206
trace,trajectory_0059,1,26,820,one_class_svm_sgd,turn_embedding_pool_side,-22.46961792062034
trace,trajectory_0235,0,15,562,one_class_svm_sgd,turn_embedding_pool_side,-22.46719793723428
trace,trajectory_0370,0,33,945,one_class_svm_sgd,turn_embedding_pool_side,-22.46590155972631
trace,trajectory_0167,0,22,831,one_class_svm_sgd,turn_embedding_pool_side,-22.467978250037095
trace,trajectory_0188,1,27,759,one_class_svm_sgd,turn_embedding_pool_side,-22.46921115698756
trace,trajectory_0472,1,20,742,one_class_svm_sgd,turn_embedding_pool_side,-22.46923749106468
trace,trajectory_0022,1,29,868,one_class_svm_sgd,turn_embedding_pool_side,-22.47616943697908
trace,trajectory_0130,0,22,749,one_class_svm_sgd,turn_embedding_pool_side,-22.471446024063017
trace,trajectory_0075,0,32,869,one_class_svm_sgd,turn_embedding_pool_side,-22.470884038177292
trace,trajectory_0425,1,23,833,one_class_svm_sgd,turn_embedding_pool_side,-22.471739434911843
trace,trajectory_0219,1,18,469,one_class_svm_sgd,turn_embedding_pool_side,-22.47247462281489
trace,trajectory_0126,1,25,997,one_class_svm_sgd,turn_embedding_pool_side,-22.469959104009877
trace,trajectory_0433,0,40,1280,one_class_svm_sgd,turn_embedding_pool_side,-22.47197879272976
trace,trajectory_0063,0,23,600,one_class_svm_sgd,turn_embedding_pool_side,-22.47182408980557
