dataset,trajectory_id,binary_label,n_turns,approx_tokens,model,representation,anomaly_score,reconstruction_score,kl_score,risk_percentile,predicted_alert_90,predicted_alert_95,predicted_alert_99
trace,trajectory_0389,0,26,1085,vae,tfidf_svd_side,0.21985985,0.21764728,2.2125626,0.9917561349693251,1,1,1
trace,trajectory_0223,0,16,680,vae,tfidf_svd_side,0.181621,0.17939387,2.2271278,0.9846625766871165,1,1,0
trace,trajectory_0366,0,32,1179,vae,tfidf_svd_side,0.1908382,0.18856487,2.2733326,0.986579754601227,1,1,0
trace,trajectory_0448,0,34,1164,vae,tfidf_svd_side,0.2001641,0.19829719,1.8669009,0.9879217791411042,1,1,0
trace,trajectory_0018,1,27,772,vae,tfidf_svd_side,0.19266562,0.19056854,2.0970922,0.9869631901840491,1,1,0
trace,trajectory_0274,0,26,674,vae,tfidf_svd_side,0.1714421,0.16952172,1.9203919,0.9823619631901841,1,1,0
trace,trajectory_0331,0,22,753,vae,tfidf_svd_side,0.16576038,0.1634393,2.3210812,0.9808282208588958,1,1,0
trace,trajectory_0262,1,37,924,vae,tfidf_svd_side,0.18531501,0.18306094,2.2540624,0.9860046012269938,1,1,0
trace,trajectory_0327,1,20,1301,vae,tfidf_svd_side,0.22239941,0.22010998,2.2894266,0.9917561349693251,1,1,1
trace,trajectory_0409,0,30,1031,vae,tfidf_svd_side,0.18810326,0.18594508,2.1581867,0.9861963190184049,1,1,0
trace,trajectory_0059,1,26,820,vae,tfidf_svd_side,0.18366893,0.18135422,2.3147042,0.9856211656441718,1,1,0
trace,trajectory_0235,0,15,562,vae,tfidf_svd_side,0.17113778,0.16885927,2.2785103,0.9819785276073619,1,1,0
trace,trajectory_0370,0,33,945,vae,tfidf_svd_side,0.21782482,0.21571356,2.1112628,0.9915644171779141,1,1,1
trace,trajectory_0167,0,22,831,vae,tfidf_svd_side,0.18688135,0.18453711,2.3442416,0.9860046012269938,1,1,0
trace,trajectory_0188,1,27,759,vae,tfidf_svd_side,0.16637257,0.16424124,2.1313264,0.9808282208588958,1,1,0
