model,representation,dataset,train_data,n,positive_rate,auroc,auprc,alert_threshold_90,alert_threshold_95,alert_threshold_99
one_class_svm_sgd,token_padding_mask_side,malt,SWE benign only,756,0.082010582010582,0.4438737566235939,0.3664960262918372,,,
one_class_svm_sgd,token_padding_no_mask_side,malt,SWE benign only,756,0.082010582010582,0.4438737566235939,0.3664960262918372,,,
vae,token_padding_masked,malt,SWE benign only,756,0.082010582010582,0.5420423910012085,0.0930857217714991,0.0066853291355073,0.0083421152085065,0.0105830049142241
vae,token_padding_no_mask,malt,SWE benign only,756,0.082010582010582,0.4964441758854699,0.0828729527894445,0.0040272893384099,0.0045348065905272,0.0055634970776736
one_class_svm_sgd,token_padding_mask_side,trace,SWE benign only,517,0.5183752417794971,0.5309296889048731,0.5274601551945375,,,
one_class_svm_sgd,token_padding_no_mask_side,trace,SWE benign only,517,0.5183752417794971,0.5309296889048731,0.5274601551945375,,,
vae,token_padding_masked,trace,SWE benign only,517,0.5183752417794971,0.4819726667865491,0.5133684746010576,0.0066853291355073,0.0083421152085065,0.0105830049142241
vae,token_padding_no_mask,trace,SWE benign only,517,0.5183752417794971,0.5325031469160223,0.5534579460499451,0.0040272893384099,0.0045348065905272,0.0055634970776736
one_class_svm_sgd,turn_embedding_pool_side,malt,SWE benign only,756,0.082010582010582,0.6360044622106537,0.24510923386770223,,,
one_class_svm_sgd,turn_embedding_pool_side,trace,SWE benign only,517,0.5183752417794971,0.5040010789426362,0.5053573111400964,,,
vae,tfidf_svd_side,malt,SWE benign only,756,0.082010582010582,0.4722506274983732,0.11146532934586237,0.0963542014360427,0.1195000410079956,0.2088862806558609
vae,tfidf_svd_side,trace,SWE benign only,517,0.5183752417794971,0.4564077204339747,0.47982099683576174,0.0963542014360427,0.1195000410079956,0.2088862806558609
vae,turn_embedding_pool_side,malt,SWE benign only,756,0.082010582010582,0.7959468253230455,0.18638489557071855,0.3147718906402588,0.3436931073665619,0.4049071371555328
vae,turn_embedding_pool_side,trace,SWE benign only,517,0.5183752417794971,0.4650242762093149,0.48199032950856024,0.3147718906402588,0.3436931073665619,0.4049071371555328
one_class_svm_sgd,tfidf_svd_side,malt,SWE benign only,756,0.082010582010582,0.7149995351863903,0.2246582359363252,,,
one_class_svm_sgd,tfidf_svd_side,trace,SWE benign only,517,0.5183752417794971,0.5417191152670383,0.5383461277913872,,,
