model,representation,dataset,progress_bucket,n,positive_rate,auroc,auprc
one_class_svm_sgd,tfidf_svd_side,malt,0-20%,7580,0.12348284960422164,0.7731603155858123,0.25749871817112624
one_class_svm_sgd,tfidf_svd_side,malt,20-40%,7889,0.12092787425529218,0.7702207832841342,0.2657055687389652
one_class_svm_sgd,tfidf_svd_side,malt,40-60%,7928,0.12348637739656912,0.7538840914639875,0.29113212509183384
one_class_svm_sgd,tfidf_svd_side,malt,60-80%,7889,0.12092787425529218,0.7633905885589308,0.2781185438559285
one_class_svm_sgd,tfidf_svd_side,malt,80-100%,8203,0.12080945995367548,0.7657692107503304,0.2954895223428499
one_class_svm_sgd,token_padding_mask_side,malt,0-20%,7580,0.12348284960422164,0.33011317003452767,0.08553456473787463
one_class_svm_sgd,token_padding_mask_side,malt,20-40%,7889,0.12092787425529218,0.3138410880306651,0.08272383237349762
one_class_svm_sgd,token_padding_mask_side,malt,40-60%,7928,0.12348637739656912,0.33987327193851125,0.10693436707936546
one_class_svm_sgd,token_padding_mask_side,malt,60-80%,7889,0.12092787425529218,0.3276747697623485,0.0843944960512805
one_class_svm_sgd,token_padding_mask_side,malt,80-100%,8203,0.12080945995367548,0.34504578925246804,0.1056061932031889
one_class_svm_sgd,token_padding_no_mask_side,malt,0-20%,7580,0.12348284960422164,0.33011317003452767,0.08553456473787463
one_class_svm_sgd,token_padding_no_mask_side,malt,20-40%,7889,0.12092787425529218,0.3138410880306651,0.08272383237349762
one_class_svm_sgd,token_padding_no_mask_side,malt,40-60%,7928,0.12348637739656912,0.33987327193851125,0.10693436707936546
one_class_svm_sgd,token_padding_no_mask_side,malt,60-80%,7889,0.12092787425529218,0.3276747697623485,0.0843944960512805
one_class_svm_sgd,token_padding_no_mask_side,malt,80-100%,8203,0.12080945995367548,0.34504578925246804,0.1056061932031889
vae,tfidf_svd_side,malt,0-20%,7580,0.12348284960422164,0.5399230782095021,0.13242665180397828
vae,tfidf_svd_side,malt,20-40%,7889,0.12092787425529218,0.605203151758089,0.13741749335400447
vae,tfidf_svd_side,malt,40-60%,7928,0.12348637739656912,0.568619671909936,0.1297604823764653
