model,representation,dataset,progress_bucket,n,positive_rate,auroc,auprc
one_class_svm_sgd,tfidf_svd_side,malt,0-20%,7580,0.12348284960422164,0.7731603155858123,0.25749871817112624
one_class_svm_sgd,tfidf_svd_side,malt,20-40%,7889,0.12092787425529218,0.7702207832841342,0.2657055687389652
one_class_svm_sgd,tfidf_svd_side,malt,40-60%,7928,0.12348637739656912,0.7538840914639875,0.29113212509183384
one_class_svm_sgd,tfidf_svd_side,malt,60-80%,7889,0.12092787425529218,0.7633905885589308,0.2781185438559285
one_class_svm_sgd,tfidf_svd_side,malt,80-100%,8203,0.12080945995367548,0.7657692107503304,0.2954895223428499
one_class_svm_sgd,tfidf_svd_side,trace,0-20%,2547,0.5127601099332548,0.5134542982058878,0.5290843276238946
one_class_svm_sgd,tfidf_svd_side,trace,20-40%,2726,0.516507703595011,0.5122915660780798,0.5263835075254447
one_class_svm_sgd,tfidf_svd_side,trace,40-60%,2750,0.5134545454545455,0.5208277755899677,0.5202443771116774
one_class_svm_sgd,tfidf_svd_side,trace,60-80%,2726,0.516507703595011,0.5405826450200027,0.5365532181900501
one_class_svm_sgd,tfidf_svd_side,trace,80-100%,2952,0.516260162601626,0.5509803002565856,0.5434630324331942
